representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
tfidf_char_3_5	context_only_20	lemma_group	function	688	0.7020348837209303	0.49018935378603645	0.48098019084208243	5.0
tfidf_char_3_5	context_marker_20	lemma_group	function	688	0.7020348837209303	0.49018935378603645	0.48098019084208243	5.0
tfidf_char_3_5	context_marker_scope_20	lemma_group	function	688	0.7034883720930233	0.5020265635717404	0.48856530674712495	5.0
majority	none	within_lemma	function	315	0.8031746031746032	0.5	0.4454225352112676	5.0
tfidf_char_3_5	marker_only	within_lemma	function	315	0.7587301587301587	0.6793318883080454	0.6579218106995885	5.0
tfidf_char_3_5	marker_scope	within_lemma	function	315	0.7587301587301587	0.6123613413234732	0.6137214405576352	5.0
tfidf_char_3_5	context_only_1	within_lemma	function	315	0.765079365079365	0.5919609843172255	0.5982142857142857	5.0
tfidf_char_3_5	context_marker_1	within_lemma	function	315	0.7555555555555555	0.5799438990182328	0.5848239502918471	5.0
tfidf_char_3_5	context_marker_scope_1	within_lemma	function	315	0.7619047619047619	0.5899846997322453	0.5956077437907602	5.0
tfidf_char_3_5	context_only_3	within_lemma	function	315	0.7619047619047619	0.6021611628203494	0.6063877642825011	5.0
tfidf_char_3_5	context_marker_3	within_lemma	function	315	0.7396825396825397	0.5700624760933316	0.572464247881356	5.0
tfidf_char_3_5	context_marker_scope_3	within_lemma	function	315	0.7523809523809524	0.5901440775213567	0.5933196504237288	5.0
tfidf_char_3_5	context_only_5	within_lemma	function	315	0.7619047619047619	0.6082493943644014	0.6114884309888339	5.0
tfidf_char_3_5	context_marker_5	within_lemma	function	315	0.7682539682539683	0.6182901950784139	0.6218487394957983	5.0
tfidf_char_3_5	context_marker_scope_5	within_lemma	function	315	0.7555555555555555	0.5982085936503889	0.6011281224818694	5.0
tfidf_char_3_5	context_only_10	within_lemma	function	315	0.7333333333333333	0.5965510646436313	0.5929230769230769	5.0
tfidf_char_3_5	context_marker_10	within_lemma	function	315	0.726984126984127	0.5865102639296188	0.5832307692307692	5.0
tfidf_char_3_5	context_marker_scope_10	within_lemma	function	315	0.7333333333333333	0.6026392961876833	0.5974808324205915	5.0
tfidf_char_3_5	context_only_20	within_lemma	function	315	0.6793650793650794	0.5690424582430192	0.5560842205137507	5.0
tfidf_char_3_5	context_marker_20	within_lemma	function	315	0.6888888888888889	0.581059543542012	0.5672591678815745	5.0
tfidf_char_3_5	context_marker_scope_20	within_lemma	function	315	0.6888888888888889	0.587147775086064	0.57125	5.0
